0000000902;scans;0000000054;DataLength
"header";0000000019;"lines"
"Date";28.11.2022;"Time";14:14:57
"ID";"HAL 7 RC RGA 100 #13407";"Version";4
"Scans";1
"Scan ID";"Mode";"Input";"Scanned";"Start";"Stop";"Increment";"Dwell";"Settle";"RS";"RelSEM"
"Scan 1";"RGA";"Total";"mass";10,00;50,00;1,00;100,000%;100,000%;1,000000;1,000000;
"Environment";
"Global";"RGA"
"F1";1;"( 1 = on, 0 = off )"
"F2";0;"( 1 = on, 0 = off )"
"cage";3,0;"V"
"delta-m";0;"%"
"electron-energy";70,0;"V"
"emission";1000,000;"uA"
"focus";-90;"V"
"mass";18,00;"amu"
"mode-change-delay";1000;"ms"
"resolution";0;"%"
"Data";1
"Cycle";"Time";"ms";"mass amu";"Total torr"
0000000004;00:00:03;0000003719;  23,00;  2,27429e-07
0000000004;00:00:03;0000003719;  24,00;  2,26892e-07
0000000004;00:00:03;0000003719;  25,00;  2,26758e-07
0000000004;00:00:03;0000003719;  26,00;  2,27295e-07
0000000004;00:00:03;0000003719;  27,00;  2,26354e-07
0000000004;00:00:03;0000003719;  28,00;  2,27026e-07
0000000004;00:00:03;0000003719;  29,00;  2,26892e-07
0000000004;00:00:03;0000003719;  30,00;  2,26555e-07
0000000004;00:00:03;0000003719;  31,00;  2,26690e-07
0000000004;00:00:03;0000003719;  32,00;  2,27026e-07
0000000004;00:00:03;0000003719;  33,00;  2,26421e-07
0000000004;00:00:03;0000003719;  34,00;  2,26892e-07
0000000004;00:00:03;0000003719;  35,00;  2,26824e-07
0000000004;00:00:03;0000003719;  36,00;  2,27093e-07
0000000004;00:00:03;0000003719;  37,00;  2,27161e-07
0000000004;00:00:03;0000003719;  38,00;  2,26892e-07
0000000004;00:00:03;0000003719;  39,00;  2,27026e-07
0000000004;00:00:03;0000003719;  40,00;  2,27161e-07
0000000004;00:00:03;0000003719;  41,00;  2,27227e-07
0000000004;00:00:03;0000003719;  42,00;  2,27227e-07
0000000004;00:00:03;0000003719;  43,00;  2,27295e-07
0000000004;00:00:03;0000003719;  44,00;  2,27026e-07
0000000004;00:00:03;0000003719;  45,00;  2,27698e-07
0000000004;00:00:03;0000003719;  46,00;  2,27161e-07
0000000004;00:00:03;0000003719;  47,00;  2,27362e-07
0000000004;00:00:03;0000003719;  48,00;  2,27026e-07
0000000004;00:00:03;0000003719;  49,00;  2,27630e-07
0000000004;00:00:03;0000003719;  50,00;  2,27295e-07
0000000005;00:00:04;0000004624;  10,00;  2,27428e-07
0000000005;00:00:04;0000004624;  11,00;  2,27025e-07
0000000005;00:00:04;0000004624;  12,00;  2,27160e-07
0000000005;00:00:04;0000004624;  13,00;  2,27093e-07
0000000005;00:00:04;0000004624;  14,00;  2,27362e-07
0000000005;00:00:04;0000004624;  15,00;  2,26756e-07
0000000005;00:00:04;0000004624;  16,00;  2,27362e-07
0000000005;00:00:04;0000004624;  17,00;  2,27697e-07
0000000005;00:00:04;0000004624;  18,00;  2,27294e-07
0000000005;00:00:04;0000004624;  19,00;  2,27697e-07
0000000005;00:00:04;0000004624;  20,00;  2,27025e-07
0000000005;00:00:04;0000004624;  21,00;  2,27899e-07
0000000005;00:00:04;0000004624;  22,00;  2,27765e-07
0000000005;00:00:04;0000004624;  23,00;  2,27496e-07
0000000005;00:00:04;0000004624;  24,00;  2,27362e-07
0000000005;00:00:04;0000004624;  25,00;  2,27966e-07
0000000005;00:00:04;0000004624;  26,00;  2,27563e-07
0000000005;00:00:04;0000004624;  27,00;  2,28100e-07
0000000005;00:00:04;0000004624;  28,00;  2,27831e-07
0000000005;00:00:04;0000004624;  29,00;  2,27831e-07
0000000005;00:00:04;0000004624;  30,00;  2,27428e-07
0000000005;00:00:04;0000004624;  31,00;  2,27294e-07
0000000005;00:00:04;0000004624;  32,00;  2,27966e-07
0000000005;00:00:04;0000004624;  33,00;  2,28100e-07
0000000005;00:00:04;0000004624;  34,00;  2,27831e-07
0000000005;00:00:04;0000004624;  35,00;  2,27496e-07
0000000005;00:00:04;0000004624;  36,00;  2,27697e-07
0000000005;00:00:04;0000004624;  37,00;  2,27563e-07
0000000005;00:00:04;0000004624;  38,00;  2,28168e-07
0000000005;00:00:04;0000004624;  39,00;  2,27765e-07
0000000005;00:00:04;0000004624;  40,00;  2,27630e-07
0000000005;00:00:04;0000004624;  41,00;  2,27630e-07
0000000005;00:00:04;0000004624;  42,00;  2,27765e-07
0000000005;00:00:04;0000004624;  43,00;  2,27227e-07
0000000005;00:00:04;0000004624;  44,00;  2,28100e-07
0000000005;00:00:04;0000004624;  45,00;  2,28168e-07
0000000005;00:00:04;0000004624;  46,00;  2,27765e-07
0000000005;00:00:04;0000004624;  47,00;  2,28235e-07
0000000005;00:00:04;0000004624;  48,00;  2,27966e-07
0000000005;00:00:04;0000004624;  49,00;  2,27630e-07
0000000005;00:00:04;0000004624;  50,00;  2,28034e-07
0000000006;00:00:05;0000005530;  10,00;  2,26758e-07
0000000006;00:00:05;0000005530;  11,00;  2,26892e-07
0000000006;00:00:05;0000005530;  12,00;  2,26892e-07
0000000006;00:00:05;0000005530;  13,00;  2,27026e-07
0000000006;00:00:05;0000005530;  14,00;  2,27026e-07
0000000006;00:00:05;0000005530;  15,00;  2,27362e-07
0000000006;00:00:05;0000005530;  16,00;  2,27227e-07
0000000006;00:00:05;0000005530;  17,00;  2,27362e-07
0000000006;00:00:05;0000005530;  18,00;  2,27362e-07
0000000006;00:00:05;0000005530;  19,00;  2,26892e-07
0000000006;00:00:05;0000005530;  20,00;  2,27630e-07
0000000006;00:00:05;0000005530;  21,00;  2,27362e-07
0000000006;00:00:05;0000005530;  22,00;  2,27496e-07
0000000006;00:00:05;0000005530;  23,00;  2,27564e-07
0000000006;00:00:05;0000005530;  24,00;  2,27833e-07
0000000006;00:00:05;0000005530;  25,00;  2,27161e-07
0000000006;00:00:05;0000005530;  26,00;  2,27698e-07
0000000006;00:00:05;0000005530;  27,00;  2,27564e-07
0000000006;00:00:05;0000005530;  28,00;  2,27496e-07
0000000006;00:00:05;0000005530;  29,00;  2,27698e-07
0000000006;00:00:05;0000005530;  30,00;  2,27429e-07
0000000006;00:00:05;0000005530;  31,00;  2,27564e-07
0000000006;00:00:05;0000005530;  32,00;  2,27362e-07
0000000006;00:00:05;0000005530;  33,00;  2,27564e-07
0000000006;00:00:05;0000005530;  34,00;  2,27833e-07
0000000006;00:00:05;0000005530;  35,00;  2,27362e-07
0000000006;00:00:05;0000005530;  36,00;  2,27429e-07
0000000006;00:00:05;0000005530;  37,00;  2,27496e-07
0000000006;00:00:05;0000005530;  38,00;  2,27698e-07
0000000006;00:00:05;0000005530;  39,00;  2,27630e-07
0000000006;00:00:05;0000005530;  40,00;  2,27429e-07
0000000006;00:00:05;0000005530;  41,00;  2,27630e-07
0000000006;00:00:05;0000005530;  42,00;  2,27698e-07
0000000006;00:00:05;0000005530;  43,00;  2,27967e-07
0000000006;00:00:05;0000005530;  44,00;  2,27630e-07
0000000006;00:00:05;0000005530;  45,00;  2,27698e-07
0000000006;00:00:05;0000005530;  46,00;  2,27161e-07
0000000006;00:00:05;0000005530;  47,00;  2,27429e-07
0000000006;00:00:05;0000005530;  48,00;  2,27630e-07
0000000006;00:00:05;0000005530;  49,00;  2,28034e-07
0000000006;00:00:05;0000005530;  50,00;  2,27967e-07
0000000007;00:00:06;0000006436;  10,00;  2,27093e-07
0000000007;00:00:06;0000006436;  11,00;  2,27295e-07
0000000007;00:00:06;0000006436;  12,00;  2,27227e-07
0000000007;00:00:06;0000006436;  13,00;  2,27227e-07
0000000007;00:00:06;0000006436;  14,00;  2,27496e-07
0000000007;00:00:06;0000006436;  15,00;  2,27765e-07
0000000007;00:00:06;0000006436;  16,00;  2,27362e-07
